question,answer,steps,n_hops,root,target,split
Rex is a quimpus. Every yimpus is a yerpus. Every brimpus is a zumpus. Tom is a zumpus. Every sterpus is a dumpus. Gabriel is a yimpus. Sam is a impus. Every rempus is a fompus. Every bompus is a rempus. Every yimpus is a sterpus. Every chorpus is a gerpus. Sam is a jelpus. Every yerpus is a chorpus. Every boompus is a timpus. Sam is a vumpus. Every yerpus is a fompus. Gabriel is a brimpus. Every bompus is a yimpus. Every yimpus is a rempus. Every rempus is a chorpus. Every gorpus is a timpus. Every chorpus is a dumpus. Every jompus is a timpus. Every wumpus is a jompus. Every sterpus is a fompus. Every impus is a jompus. Every wumpus is a timpus. Every yimpus is a vumpus. Every bompus is a tumpus. Every jelpus is a timpus. Every brimpus is a gerpus. Every rempus is a zumpus. Every impus is a gorpus. Gabriel is a bompus. Rex is a vumpus. Every tumpus is a rorpus. Gabriel is a lempus. Every rempus is a tumpus. Every jompus is a boompus. Every bompus is a vumpus. Every wumpus is a jelpus. Every jelpus is a jompus. Every yerpus is a rempus. Every wumpus is a dumpus. Every brimpus is a chorpus. Gabriel is a chorpus. Every zumpus is a tumpus. Every impus is a wumpus. Is Gabriel a timpus or rorpus?,Gabriel is a rorpus.,"[""Gabriel is a bompus."", ""Every bompus is a tumpus."", ""Every tumpus is a rorpus.""]",3,0,26,train
Every lorpus is a jompus. Every dumpus is a jompus. Alex is a quimpus. Every lempus is a fompus. Every storpus is a jelpus. Every lempus is a quimpus. Every kerpus is a lorpus. Every kerpus is a dumpus. Every jelpus is a gorpus. Every worpus is a rompus. Every kerpus is a fompus. Every jelpus is a boompus. Alex is a yerpus. Every lorpus is a vumpus. Every jelpus is a numpus. Every yerpus is a kerpus. Every boompus is a worpus. Every rempus is a lempus. Every boompus is a rompus. Every impus is a gorpus. Every jelpus is a tumpus. Alex is a rempus. Every fompus is a vumpus. Polly is a storpus. Polly is a tumpus. Every jelpus is a quimpus. Every impus is a worpus. Every rompus is a wumpus. Every impus is a boompus. Every worpus is a numpus. Alex is a hilpus. Every storpus is a impus. Every gorpus is a numpus. Is Polly a wumpus or hilpus?,Polly is a wumpus.,"[""Polly is a storpus."", ""Every storpus is a jelpus."", ""Every jelpus is a boompus."", ""Every boompus is a rompus."", ""Every rompus is a wumpus.""]",5,1,22,train
Every sterpus is a zumpus. Every impus is a zumpus. Every numpus is a rorpus. Every brimpus is a yerpus. Every impus is a bompus. Every fompus is a rompus. Every rompus is a yumpus. Every terpus is a brimpus. Every numpus is a rompus. Davis is a terpus. Every vumpus is a felpus. Every hilpus is a gwompus. Every fompus is a numpus. Every gwompus is a timpus. Every lorpus is a timpus. Every vumpus is a rompus. Every impus is a vumpus. Every vumpus is a rorpus. Eva is a gwompus. Every brimpus is a fompus. Every tumpus is a lorpus. Every gwompus is a jelpus. Every rompus is a sterpus. Every numpus is a vumpus. Every fompus is a impus. Every hilpus is a jelpus. Every gwompus is a tumpus. Every impus is a numpus. Eva is a hilpus. Every felpus is a rempus. Every rorpus is a rempus. Every fompus is a vumpus. Every brimpus is a vumpus. Is Davis a bompus or timpus?,Davis is a bompus.,"[""Davis is a terpus."", ""Every terpus is a brimpus."", ""Every brimpus is a fompus."", ""Every fompus is a impus."", ""Every impus is a bompus.""]",5,1,13,train
Every hilpus is a vumpus. Every brimpus is a boompus. Every hilpus is a kerpus. Every rempus is a worpus. Every fompus is a hilpus. Every terpus is a kerpus. Every vumpus is a gorpus. Every dumpus is a rorpus. Every brimpus is a dumpus. Carol is a chorpus. Every rompus is a kerpus. Every rorpus is a bompus. Every chorpus is a hilpus. Every chorpus is a terpus. Every terpus is a wumpus. Polly is a shumpus. Every chorpus is a kerpus. Every dumpus is a zumpus. Polly is a boompus. Carol is a fompus. Every chorpus is a rempus. Every rompus is a hilpus. Every rorpus is a shumpus. Polly is a brimpus. Polly is a zumpus. Every boompus is a bompus. Every boompus is a dumpus. Every zumpus is a shumpus. Every boompus is a yumpus. Every terpus is a impus. Every fompus is a chorpus. Every fompus is a rompus. Every worpus is a rompus. Every brimpus is a rorpus. Every dumpus is a shumpus. Every wumpus is a impus. Every wumpus is a kerpus. Every boompus is a zumpus. Every rompus is a vumpus. Every yumpus is a yimpus. Every boompus is a impus. Is Carol a yimpus or gorpus?,Carol is a gorpus.,"[""Carol is a fompus."", ""Every fompus is a hilpus."", ""Every hilpus is a vumpus."", ""Every vumpus is a gorpus.""]",4,0,20,train
Every gwompus is a worpus. Every gorpus is a brimpus. Every wumpus is a chorpus. Sally is a sterpus. Every yimpus is a sterpus. Every yimpus is a jelpus. Every gwompus is a jelpus. Every sterpus is a rorpus. Every yimpus is a grimpus. Every wumpus is a yumpus. Every yumpus is a gerpus. Every grimpus is a worpus. Every lorpus is a brimpus. Every terpus is a yumpus. Every lorpus is a vumpus. Every terpus is a gerpus. Every gwompus is a vumpus. Alex is a terpus. Sally is a yimpus. Every lorpus is a grimpus. Every lorpus is a worpus. Every grimpus is a rorpus. Every sterpus is a gwompus. Sally is a worpus. Every lorpus is a gorpus. Every wumpus is a storpus. Every gwompus is a brimpus. Every yimpus is a lorpus. Every lorpus is a jelpus. Alex is a felpus. Alex is a wumpus. Is Sally a vumpus or gerpus?,Sally is a vumpus.,"[""Sally is a sterpus."", ""Every sterpus is a gwompus."", ""Every gwompus is a vumpus.""]",3,1,15,train
Every boompus is a rempus. Every lempus is a scrompus. Every brimpus is a rompus. Carol is a scrompus. Davis is a worpus. Every hilpus is a rompus. Every rempus is a hilpus. Carol is a lempus. Every boompus is a zhorpus. Every lempus is a impus. Oliver is a shumpus. Every numpus is a bompus. Every rorpus is a fompus. Every impus is a lorpus. Oliver is a boompus. Every scrompus is a impus. Every hilpus is a brimpus. Stella is a kerpus. Every brimpus is a numpus. Every scrompus is a lorpus. Every lempus is a gerpus. Every shumpus is a rorpus. Every hilpus is a gorpus. Every rempus is a numpus. Every boompus is a rompus. Every yimpus is a fompus. Carol is a impus. Every gorpus is a yimpus. Every rompus is a numpus. Every hilpus is a yimpus. Every brimpus is a rorpus. Is Oliver a bompus or lorpus?,Oliver is a bompus.,"[""Oliver is a boompus."", ""Every boompus is a rempus."", ""Every rempus is a numpus."", ""Every numpus is a bompus.""]",4,1,23,train
Tom is a grimpus. Every jompus is a lorpus. Tom is a bompus. Every lempus is a rempus. Every yumpus is a gerpus. Every timpus is a lorpus. Every gwompus is a gerpus. Every impus is a wumpus. Every lempus is a quimpus. Every scrompus is a lorpus. Every scrompus is a kerpus. Every gerpus is a impus. Every yumpus is a wumpus. Every grimpus is a fompus. Every scrompus is a vumpus. Every scrompus is a quimpus. Every quimpus is a lorpus. Tom is a gwompus. Every lempus is a jelpus. Carol is a fompus. Every kerpus is a timpus. Every scrompus is a fompus. Every timpus is a jompus. Every grimpus is a gerpus. Every quimpus is a jelpus. Every vumpus is a felpus. Sally is a lempus. Every quimpus is a timpus. Every lempus is a scrompus. Every bompus is a rempus. Every lempus is a fompus. Every timpus is a felpus. Every yumpus is a impus. Every gwompus is a yumpus. Is Sally a wumpus or felpus?,Sally is a felpus.,"[""Sally is a lempus."", ""Every lempus is a quimpus."", ""Every quimpus is a timpus."", ""Every timpus is a felpus.""]",4,1,20,train
Every jompus is a vumpus. Every jelpus is a dumpus. Every felpus is a quimpus. Every impus is a yimpus. Every zumpus is a impus. Every bompus is a jompus. Every jelpus is a quimpus. Max is a rompus. Every lorpus is a hilpus. Every lempus is a zumpus. Every jelpus is a lempus. Eva is a rempus. Every lempus is a numpus. Every zumpus is a fompus. Every zumpus is a numpus. Every lempus is a gerpus. Every lempus is a vumpus. Every rempus is a sterpus. Every bompus is a fompus. Every rempus is a quimpus. Every gerpus is a yimpus. Eva is a jelpus. Every rempus is a zumpus. Every lorpus is a zhorpus. Every rompus is a quimpus. Every lorpus is a jompus. Eva is a zumpus. Every rempus is a felpus. Every lorpus is a boompus. Every hilpus is a timpus. Every rompus is a lorpus. Every rempus is a jelpus. Every rompus is a hilpus. Every gerpus is a dumpus. Every numpus is a fompus. Every impus is a tumpus. Every jelpus is a vumpus. Every felpus is a lempus. Eva is a felpus. Every lempus is a wumpus. Every rompus is a bompus. Every rempus is a lempus. Every zumpus is a wumpus. Every jompus is a hilpus. Is Eva a zhorpus or yimpus?,Eva is a yimpus.,"[""Eva is a zumpus."", ""Every zumpus is a impus."", ""Every impus is a yimpus.""]",3,1,17,train
Every hilpus is a shumpus. Every gerpus is a brimpus. Every zumpus is a worpus. Every dumpus is a shumpus. Every grimpus is a vumpus. Every shumpus is a brimpus. Polly is a scrompus. Every zumpus is a hilpus. Every zumpus is a quimpus. Every scrompus is a gorpus. Every hilpus is a dumpus. Every hilpus is a wumpus. Every gerpus is a worpus. Every wumpus is a yerpus. Every vumpus is a brimpus. Gabriel is a zumpus. Every rompus is a shumpus. Every felpus is a storpus. Gabriel is a kerpus. Every kerpus is a quimpus. Every kerpus is a gerpus. Polly is a fompus. Every zumpus is a grimpus. Davis is a vumpus. Every kerpus is a vumpus. Every gorpus is a boompus. Every kerpus is a zumpus. Every fompus is a felpus. Every felpus is a boompus. Every shumpus is a wumpus. Every fompus is a impus. Every kerpus is a shumpus. Every grimpus is a worpus. Every zumpus is a wumpus. Every scrompus is a timpus. Gabriel is a shumpus. Every zumpus is a vumpus. Every rompus is a yerpus. Every zumpus is a yerpus. Every quimpus is a rompus. Is Polly a boompus or brimpus?,Polly is a boompus.,"[""Polly is a fompus."", ""Every fompus is a felpus."", ""Every felpus is a boompus.""]",3,1,17,train
Every yerpus is a dumpus. Every wumpus is a felpus. Every boompus is a sterpus. Every yumpus is a storpus. Every quimpus is a zumpus. Every terpus is a gwompus. Every kerpus is a tumpus. Every yumpus is a gwompus. Every fompus is a wumpus. Every wumpus is a scrompus. Every timpus is a terpus. Sam is a timpus. Every gwompus is a sterpus. Every fompus is a storpus. Every tumpus is a dumpus. Fae is a fompus. Sam is a tumpus. Every yerpus is a gwompus. Every tumpus is a zumpus. Every yerpus is a sterpus. Every kerpus is a hilpus. Every zhorpus is a jompus. Every terpus is a yerpus. Every terpus is a storpus. Every scrompus is a impus. Every wumpus is a boompus. Fae is a bompus. Fae is a storpus. Every zhorpus is a hilpus. Every bompus is a scrompus. Every zhorpus is a sterpus. Sam is a yumpus. Every quimpus is a grimpus. Every impus is a felpus. Every timpus is a kerpus. Every gwompus is a quimpus. Every wumpus is a bompus. Every timpus is a yumpus. Every impus is a hilpus. Every impus is a zhorpus. Every felpus is a jompus. Every yumpus is a quimpus. Is Fae a grimpus or jompus?,Fae is a jompus.,"[""Fae is a fompus."", ""Every fompus is a wumpus."", ""Every wumpus is a felpus."", ""Every felpus is a jompus.""]",4,0,22,train
Every rempus is a zumpus. Every terpus is a tumpus. Every zhorpus is a grimpus. Every grimpus is a bompus. Every vumpus is a storpus. Every worpus is a bompus. Gabriel is a terpus. Every vumpus is a zhorpus. Every hilpus is a yimpus. Every gerpus is a lorpus. Every impus is a bompus. Every storpus is a lempus. Every worpus is a terpus. Gabriel is a lorpus. Every fompus is a brimpus. Every brimpus is a zumpus. Every worpus is a dumpus. Every timpus is a yimpus. Gabriel is a yerpus. Every brimpus is a rempus. Every impus is a yerpus. Fae is a timpus. Every fompus is a timpus. Every timpus is a boompus. Every vumpus is a bompus. Fae is a hilpus. Every terpus is a gerpus. Every vumpus is a impus. Every hilpus is a fompus. Gabriel is a worpus. Every rompus is a zumpus. Every tumpus is a vumpus. Every tumpus is a jompus. Every zhorpus is a yerpus. Every boompus is a rompus. Is Gabriel a lempus or yimpus?,Gabriel is a lempus.,"[""Gabriel is a terpus."", ""Every terpus is a tumpus."", ""Every tumpus is a vumpus."", ""Every vumpus is a storpus."", ""Every storpus is a lempus.""]",5,1,23,train
Every gwompus is a storpus. Every grimpus is a zhorpus. Jack is a gorpus. Davis is a storpus. Every bompus is a chorpus. Every chorpus is a shumpus. Every jompus is a zhorpus. Every zhorpus is a shumpus. Every storpus is a gorpus. Every bompus is a grimpus. Every chorpus is a brimpus. Every brimpus is a yimpus. Oliver is a bompus. Oliver is a jompus. Every jompus is a tumpus. Every scrompus is a lorpus. Every lempus is a fompus. Every tumpus is a shumpus. Davis is a gwompus. Every chorpus is a rompus. Every jompus is a chorpus. Every shumpus is a lempus. Davis is a scrompus. Every lorpus is a rorpus. Every grimpus is a brimpus. Oliver is a rorpus. Every scrompus is a storpus. Every shumpus is a yimpus. Every grimpus is a felpus. Every felpus is a fompus. Every zhorpus is a brimpus. Every rompus is a lempus. Oliver is a gwompus. Every scrompus is a hilpus. Is Oliver a fompus or hilpus?,Oliver is a fompus.,"[""Oliver is a bompus."", ""Every bompus is a grimpus."", ""Every grimpus is a felpus."", ""Every felpus is a fompus.""]",4,1,21,train
Every gorpus is a tumpus. Every timpus is a storpus. Carol is a terpus. Davis is a terpus. Every lempus is a quimpus. Alex is a rompus. Alex is a grimpus. Every yumpus is a felpus. Every rompus is a grimpus. Every wumpus is a rempus. Every felpus is a gwompus. Every yumpus is a wumpus. Davis is a timpus. Every lempus is a yimpus. Every timpus is a brimpus. Every timpus is a gorpus. Every yumpus is a rompus. Every timpus is a gerpus. Davis is a boompus. Every wumpus is a rorpus. Every rompus is a wumpus. Every timpus is a boompus. Every timpus is a lorpus. Every boompus is a gorpus. Every wumpus is a gwompus. Every lempus is a rempus. Every felpus is a rorpus. Every lempus is a rorpus. Every terpus is a gorpus. Every yumpus is a rempus. Every lempus is a grimpus. Every rompus is a chorpus. Every wumpus is a lempus. Alex is a yumpus. Every tumpus is a lorpus. Every rempus is a quimpus. Davis is a gorpus. Is Alex a brimpus or yimpus?,Alex is a yimpus.,"[""Alex is a rompus."", ""Every rompus is a wumpus."", ""Every wumpus is a lempus."", ""Every lempus is a yimpus.""]",4,0,17,train
Every rompus is a gerpus. Gabriel is a fompus. Fae is a vumpus. Fae is a chorpus. Every jelpus is a yimpus. Every grimpus is a brimpus. Every sterpus is a grimpus. Every jompus is a quimpus. Every grimpus is a lempus. Every sterpus is a quimpus. Every hilpus is a shumpus. Every tumpus is a rempus. Every brimpus is a quimpus. Every hilpus is a gwompus. Fae is a lorpus. Every hilpus is a vumpus. Every rompus is a vumpus. Fae is a jelpus. Every rompus is a quimpus. Gabriel is a terpus. Every lempus is a gerpus. Every sterpus is a terpus. Every sterpus is a brimpus. Every jelpus is a shumpus. Gabriel is a sterpus. Every jelpus is a chorpus. Every sterpus is a rompus. Every jompus is a yimpus. Gabriel is a bompus. Every grimpus is a gerpus. Every hilpus is a yimpus. Every lempus is a brimpus. Every shumpus is a vumpus. Every fompus is a bompus. Every gwompus is a rempus. Every jelpus is a tumpus. Fae is a fompus. Every gwompus is a tumpus. Every jelpus is a hilpus. Every lorpus is a zumpus. Every terpus is a jompus. Every lempus is a jompus. Every brimpus is a gerpus. Is Gabriel a zumpus or gerpus?,Gabriel is a gerpus.,"[""Gabriel is a sterpus."", ""Every sterpus is a grimpus."", ""Every grimpus is a gerpus.""]",3,0,22,train
Jack is a grimpus. Every gorpus is a yimpus. Every jompus is a sterpus. Every grimpus is a lorpus. Every numpus is a gorpus. Every chorpus is a lorpus. Jack is a bompus. Every gwompus is a chorpus. Every felpus is a impus. Every bompus is a grimpus. Every bompus is a numpus. Every yumpus is a lorpus. Alex is a impus. Every boompus is a chorpus. Jack is a numpus. Every timpus is a yerpus. Every wumpus is a jompus. Alex is a felpus. Every wumpus is a yumpus. Every grimpus is a storpus. Alex is a boompus. Every timpus is a felpus. Every bompus is a gorpus. Every gorpus is a wumpus. Every numpus is a grimpus. Every yumpus is a storpus. Every impus is a gwompus. Every grimpus is a yimpus. Every timpus is a impus. Every gorpus is a grimpus. Every timpus is a zumpus. Alex is a timpus. Is Jack a sterpus or zumpus?,Jack is a sterpus.,"[""Jack is a bompus."", ""Every bompus is a gorpus."", ""Every gorpus is a wumpus."", ""Every wumpus is a jompus."", ""Every jompus is a sterpus.""]",5,1,16,train
Every lempus is a gorpus. Bob is a bompus. Every sterpus is a terpus. Every yimpus is a rempus. Every yimpus is a wumpus. Every fompus is a felpus. Bob is a storpus. Every yimpus is a bompus. Every lempus is a fompus. Bob is a yimpus. Every sterpus is a shumpus. Every rempus is a storpus. Every rempus is a rorpus. Every rempus is a bompus. Fae is a fompus. Bob is a rempus. Every gorpus is a impus. Every rempus is a terpus. Every storpus is a sterpus. Fae is a lempus. Every storpus is a bompus. Every sterpus is a rorpus. Every shumpus is a gerpus. Is Bob a gerpus or impus?,Bob is a gerpus.,"[""Bob is a storpus."", ""Every storpus is a sterpus."", ""Every sterpus is a shumpus."", ""Every shumpus is a gerpus.""]",4,1,16,train
