position,alpha,sample_idx,correct,n_steps,predicted_word,expected_word
4,10,3,1,4,storpus,storpus
4,20,3,1,4,storpus,storpus
4,40,3,1,4,storpus,storpus
5,5,3,1,4,storpus,storpus
5,10,3,1,4,storpus,storpus
5,20,3,1,4,storpus,storpus
5,40,3,1,4,storpus,storpus
0,0,4,1,4,tumpus,tumpus
1,5,4,1,4,tumpus,tumpus
1,10,4,1,4,tumpus,tumpus
1,20,4,1,4,tumpus,tumpus
1,40,4,1,4,tumpus,tumpus
2,5,4,1,4,tumpus,tumpus
2,10,4,1,4,tumpus,tumpus
2,20,4,1,4,tumpus,tumpus
2,40,4,1,4,tumpus,tumpus
3,5,4,1,4,tumpus,tumpus
3,10,4,1,4,tumpus,tumpus
3,20,4,1,4,tumpus,tumpus
3,40,4,1,4,tumpus,tumpus
4,5,4,1,4,tumpus,tumpus
4,10,4,1,4,tumpus,tumpus
4,20,4,1,4,tumpus,tumpus
4,40,4,1,4,tumpus,tumpus
5,5,4,1,4,tumpus,tumpus
5,10,4,1,4,tumpus,tumpus
5,20,4,1,4,tumpus,tumpus
5,40,4,1,4,tumpus,tumpus
0,0,5,0,5,boompus,bompus
1,5,5,0,5,boompus,bompus
1,10,5,0,5,boompus,bompus
1,20,5,0,5,boompus,bompus
1,40,5,0,5,boompus,bompus
2,5,5,0,5,boompus,bompus
2,10,5,0,5,boompus,bompus
2,20,5,0,5,boompus,bompus
2,40,5,0,5,boompus,bompus
3,5,5,0,5,boompus,bompus
3,10,5,0,5,boompus,bompus
3,20,5,0,5,boompus,bompus
3,40,5,0,5,boompus,bompus
4,5,5,0,5,boompus,bompus
4,10,5,0,5,boompus,bompus
4,20,5,0,5,boompus,bompus
4,40,5,0,5,boompus,bompus
5,5,5,0,5,boompus,bompus
5,10,5,0,5,boompus,bompus
5,20,5,0,5,boompus,bompus
5,40,5,0,5,boompus,bompus
0,0,6,1,3,sterpus,sterpus
1,5,6,1,3,sterpus,sterpus
1,10,6,1,3,sterpus,sterpus
1,20,6,1,3,sterpus,sterpus
1,40,6,1,3,sterpus,sterpus
2,5,6,1,3,sterpus,sterpus
2,10,6,1,3,sterpus,sterpus
2,20,6,1,3,sterpus,sterpus
2,40,6,1,3,sterpus,sterpus
3,5,6,1,3,sterpus,sterpus
3,10,6,1,3,sterpus,sterpus
3,20,6,1,3,sterpus,sterpus
3,40,6,1,3,sterpus,sterpus
4,5,6,1,3,sterpus,sterpus
4,10,6,1,3,sterpus,sterpus
4,20,6,1,3,sterpus,sterpus
4,40,6,1,3,sterpus,sterpus
5,5,6,1,3,sterpus,sterpus
5,10,6,1,3,sterpus,sterpus
5,20,6,1,3,sterpus,sterpus
5,40,6,1,3,sterpus,sterpus
0,0,7,1,3,timpus,timpus
1,5,7,1,3,timpus,timpus
1,10,7,1,3,timpus,timpus
1,20,7,1,3,timpus,timpus
1,40,7,1,3,timpus,timpus
2,5,7,1,3,timpus,timpus
2,10,7,1,3,timpus,timpus
2,20,7,1,3,timpus,timpus
2,40,7,1,3,timpus,timpus
3,5,7,1,3,timpus,timpus
3,10,7,1,3,timpus,timpus
3,20,7,1,3,timpus,timpus
3,40,7,1,3,timpus,timpus
4,5,7,1,3,timpus,timpus
4,10,7,1,3,timpus,timpus
4,20,7,1,3,timpus,timpus
4,40,7,1,3,timpus,timpus
5,5,7,1,3,timpus,timpus
5,10,7,1,3,timpus,timpus
5,20,7,1,3,timpus,timpus
5,40,7,1,3,timpus,timpus
0,0,8,1,4,numpus,numpus
1,5,8,1,4,numpus,numpus
1,10,8,1,4,numpus,numpus
1,20,8,1,4,numpus,numpus
1,40,8,1,4,numpus,numpus
2,5,8,1,4,numpus,numpus
2,10,8,1,4,numpus,numpus
2,20,8,1,4,numpus,numpus
2,40,8,1,4,numpus,numpus
3,5,8,1,4,numpus,numpus
3,10,8,1,4,numpus,numpus
3,20,8,1,4,numpus,numpus
3,40,8,1,4,numpus,numpus
4,5,8,1,4,numpus,numpus
4,10,8,1,4,numpus,numpus
4,20,8,1,4,numpus,numpus
4,40,8,1,4,numpus,numpus
5,5,8,1,4,numpus,numpus
5,10,8,1,4,numpus,numpus
5,20,8,1,4,numpus,numpus
5,40,8,1,4,numpus,numpus
0,0,9,0,4,vumpus,dumpus
1,5,9,0,4,vumpus,dumpus
1,10,9,0,4,vumpus,dumpus
1,20,9,0,4,vumpus,dumpus
1,40,9,0,4,vumpus,dumpus
2,5,9,0,4,vumpus,dumpus
2,10,9,0,4,vumpus,dumpus
2,20,9,0,4,vumpus,dumpus
2,40,9,0,4,vumpus,dumpus
3,5,9,0,4,vumpus,dumpus
3,10,9,0,4,vumpus,dumpus
3,20,9,0,4,vumpus,dumpus
3,40,9,0,4,vumpus,dumpus
4,5,9,0,4,vumpus,dumpus
4,10,9,0,4,vumpus,dumpus
4,20,9,0,4,vumpus,dumpus
4,40,9,0,4,vumpus,dumpus
5,5,9,0,4,vumpus,dumpus
5,10,9,0,4,vumpus,dumpus
5,20,9,0,4,vumpus,dumpus
5,40,9,0,4,vumpus,dumpus
0,0,10,1,4,boompus,boompus
1,5,10,1,4,boompus,boompus
1,10,10,1,4,boompus,boompus
1,20,10,1,4,boompus,boompus
1,40,10,1,4,boompus,boompus
2,5,10,1,4,boompus,boompus
2,10,10,1,4,boompus,boompus
2,20,10,1,4,boompus,boompus
2,40,10,1,4,boompus,boompus
3,5,10,1,4,boompus,boompus
3,10,10,1,4,boompus,boompus
3,20,10,1,4,boompus,boompus
3,40,10,1,4,boompus,boompus
4,5,10,1,4,boompus,boompus
4,10,10,1,4,boompus,boompus
4,20,10,1,4,boompus,boompus
4,40,10,1,4,boompus,boompus
5,5,10,1,4,boompus,boompus
5,10,10,1,4,boompus,boompus
5,20,10,1,4,boompus,boompus
5,40,10,1,4,boompus,boompus
0,0,11,0,4,timpus,rompus
1,5,11,0,4,timpus,rompus
1,10,11,0,4,timpus,rompus
1,20,11,0,4,timpus,rompus
1,40,11,0,4,timpus,rompus
2,5,11,0,4,timpus,rompus
2,10,11,0,4,timpus,rompus
2,20,11,0,4,timpus,rompus
2,40,11,0,4,timpus,rompus
3,5,11,0,4,timpus,rompus
3,10,11,0,4,timpus,rompus
3,20,11,0,4,timpus,rompus
3,40,11,0,4,timpus,rompus
4,5,11,0,4,timpus,rompus
4,10,11,0,4,timpus,rompus
4,20,11,0,4,timpus,rompus
4,40,11,0,4,timpus,rompus
5,5,11,0,4,timpus,rompus
5,10,11,0,4,timpus,rompus
5,20,11,0,4,timpus,rompus
5,40,11,0,4,timpus,rompus
0,0,12,0,4,hilpus,yumpus
1,5,12,0,4,hilpus,yumpus
1,10,12,0,4,hilpus,yumpus
1,20,12,0,4,hilpus,yumpus
1,40,12,0,4,hilpus,yumpus
2,5,12,0,4,hilpus,yumpus
2,10,12,0,4,hilpus,yumpus
2,20,12,0,4,hilpus,yumpus
2,40,12,0,4,hilpus,yumpus
3,5,12,0,4,hilpus,yumpus
3,10,12,0,4,hilpus,yumpus
3,20,12,0,4,hilpus,yumpus
3,40,12,0,4,hilpus,yumpus
4,5,12,0,4,hilpus,yumpus
4,10,12,0,4,hilpus,yumpus
4,20,12,0,4,hilpus,yumpus
4,40,12,0,4,hilpus,yumpus
5,5,12,0,4,hilpus,yumpus
5,10,12,0,4,hilpus,yumpus
5,20,12,0,4,hilpus,yumpus
5,40,12,0,4,hilpus,yumpus
0,0,13,1,4,kerpus,kerpus
1,5,13,1,4,kerpus,kerpus
1,10,13,1,4,kerpus,kerpus
1,20,13,1,4,kerpus,kerpus
1,40,13,1,4,kerpus,kerpus
2,5,13,1,4,kerpus,kerpus
2,10,13,1,4,kerpus,kerpus
2,20,13,1,4,kerpus,kerpus
2,40,13,1,4,kerpus,kerpus
3,5,13,1,4,kerpus,kerpus
3,10,13,1,4,kerpus,kerpus
3,20,13,1,4,kerpus,kerpus
3,40,13,1,4,kerpus,kerpus
4,5,13,1,4,kerpus,kerpus
4,10,13,1,4,kerpus,kerpus
4,20,13,1,4,kerpus,kerpus
4,40,13,1,4,kerpus,kerpus
5,5,13,1,4,kerpus,kerpus
5,10,13,1,4,kerpus,kerpus
5,20,13,1,4,kerpus,kerpus
5,40,13,1,4,kerpus,kerpus
0,0,14,1,5,bompus,bompus
1,5,14,1,5,bompus,bompus
1,10,14,1,5,bompus,bompus
1,20,14,1,5,bompus,bompus
1,40,14,1,5,bompus,bompus
2,5,14,1,5,bompus,bompus
2,10,14,1,5,bompus,bompus
2,20,14,1,5,bompus,bompus
2,40,14,1,5,bompus,bompus
3,5,14,1,5,bompus,bompus
3,10,14,1,5,bompus,bompus
3,20,14,1,5,bompus,bompus
3,40,14,1,5,bompus,bompus
4,5,14,1,5,bompus,bompus
4,10,14,1,5,bompus,bompus
4,20,14,1,5,bompus,bompus
4,40,14,1,5,bompus,bompus
5,5,14,1,5,bompus,bompus
5,10,14,1,5,bompus,bompus
5,20,14,1,5,bompus,bompus
5,40,14,1,5,bompus,bompus
0,0,15,1,4,vumpus,vumpus
1,5,15,1,4,vumpus,vumpus
1,10,15,1,4,vumpus,vumpus
1,20,15,1,4,vumpus,vumpus
1,40,15,1,4,vumpus,vumpus
2,5,15,1,4,vumpus,vumpus
2,10,15,1,4,vumpus,vumpus
2,20,15,1,4,vumpus,vumpus
2,40,15,1,4,vumpus,vumpus
3,5,15,1,4,vumpus,vumpus
3,10,15,1,4,vumpus,vumpus
3,20,15,1,4,vumpus,vumpus
3,40,15,1,4,vumpus,vumpus
4,5,15,1,4,vumpus,vumpus
4,10,15,1,4,vumpus,vumpus
4,20,15,1,4,vumpus,vumpus
4,40,15,1,4,vumpus,vumpus
5,5,15,1,4,vumpus,vumpus
5,10,15,1,4,vumpus,vumpus
5,20,15,1,4,vumpus,vumpus
5,40,15,1,4,vumpus,vumpus
0,0,16,1,3,lempus,lempus
1,5,16,1,3,lempus,lempus
1,10,16,1,3,lempus,lempus
1,20,16,1,3,lempus,lempus
1,40,16,1,3,lempus,lempus
2,5,16,1,3,lempus,lempus
2,10,16,1,3,lempus,lempus
2,20,16,1,3,lempus,lempus
2,40,16,1,3,lempus,lempus
3,5,16,1,3,lempus,lempus
3,10,16,1,3,lempus,lempus
3,20,16,1,3,lempus,lempus
3,40,16,1,3,lempus,lempus
4,5,16,1,3,lempus,lempus
4,10,16,1,3,lempus,lempus
4,20,16,1,3,lempus,lempus
4,40,16,1,3,lempus,lempus
5,5,16,1,3,lempus,lempus
5,10,16,1,3,lempus,lempus
5,20,16,1,3,lempus,lempus
5,40,16,1,3,lempus,lempus
0,0,17,1,3,fompus,fompus
1,5,17,1,3,fompus,fompus
1,10,17,1,3,fompus,fompus
1,20,17,1,3,fompus,fompus
1,40,17,1,3,fompus,fompus
2,5,17,1,3,fompus,fompus
2,10,17,1,3,fompus,fompus
2,20,17,1,3,fompus,fompus
2,40,17,1,3,fompus,fompus
3,5,17,1,3,fompus,fompus
3,10,17,1,3,fompus,fompus
3,20,17,1,3,fompus,fompus
3,40,17,1,3,fompus,fompus
4,5,17,1,3,fompus,fompus
4,10,17,1,3,fompus,fompus
4,20,17,1,3,fompus,fompus
4,40,17,1,3,fompus,fompus
5,5,17,1,3,fompus,fompus
5,10,17,1,3,fompus,fompus
5,20,17,1,3,fompus,fompus
5,40,17,1,3,fompus,fompus
0,0,18,1,4,numpus,numpus
1,5,18,1,4,numpus,numpus
1,10,18,1,4,numpus,numpus
1,20,18,1,4,numpus,numpus
1,40,18,1,4,numpus,numpus
2,5,18,1,4,numpus,numpus
2,10,18,1,4,numpus,numpus
2,20,18,1,4,numpus,numpus
2,40,18,1,4,numpus,numpus
3,5,18,1,4,numpus,numpus
3,10,18,1,4,numpus,numpus
3,20,18,1,4,numpus,numpus
3,40,18,1,4,numpus,numpus
4,5,18,1,4,numpus,numpus
4,10,18,1,4,numpus,numpus
4,20,18,1,4,numpus,numpus
4,40,18,1,4,numpus,numpus
5,5,18,1,4,numpus,numpus
5,10,18,1,4,numpus,numpus
5,20,18,1,4,numpus,numpus
5,40,18,1,4,numpus,numpus
0,0,19,0,4,numpus,yimpus
1,5,19,0,4,numpus,yimpus
1,10,19,0,4,numpus,yimpus
1,20,19,0,4,numpus,yimpus
1,40,19,0,4,numpus,yimpus
2,5,19,0,4,numpus,yimpus
2,10,19,0,4,numpus,yimpus
2,20,19,0,4,numpus,yimpus
2,40,19,0,4,numpus,yimpus
3,5,19,0,4,numpus,yimpus
3,10,19,0,4,numpus,yimpus
3,20,19,0,4,numpus,yimpus
3,40,19,0,4,numpus,yimpus
4,5,19,0,4,numpus,yimpus
4,10,19,0,4,numpus,yimpus
4,20,19,0,4,numpus,yimpus
4,40,19,0,4,numpus,yimpus
5,5,19,0,4,numpus,yimpus
5,10,19,0,4,numpus,yimpus
5,20,19,0,4,numpus,yimpus
5,40,19,0,4,numpus,yimpus
0,0,20,1,4,jelpus,jelpus
1,5,20,1,4,jelpus,jelpus
1,10,20,1,4,jelpus,jelpus
1,20,20,1,4,jelpus,jelpus
1,40,20,1,4,jelpus,jelpus
2,5,20,1,4,jelpus,jelpus
2,10,20,1,4,jelpus,jelpus
2,20,20,1,4,jelpus,jelpus
2,40,20,1,4,jelpus,jelpus
3,5,20,1,4,jelpus,jelpus
3,10,20,1,4,jelpus,jelpus
3,20,20,1,4,jelpus,jelpus
3,40,20,1,4,jelpus,jelpus
4,5,20,1,4,jelpus,jelpus
4,10,20,1,4,jelpus,jelpus
4,20,20,1,4,jelpus,jelpus
4,40,20,1,4,jelpus,jelpus
5,5,20,1,4,jelpus,jelpus
5,10,20,1,4,jelpus,jelpus
5,20,20,1,4,jelpus,jelpus
5,40,20,1,4,jelpus,jelpus
0,0,21,0,3,fompus,gorpus
1,5,21,0,3,fompus,gorpus
1,10,21,0,3,fompus,gorpus
1,20,21,0,3,fompus,gorpus
1,40,21,0,3,fompus,gorpus
2,5,21,0,3,fompus,gorpus
2,10,21,0,3,fompus,gorpus
2,20,21,0,3,fompus,gorpus
2,40,21,0,3,fompus,gorpus
3,5,21,0,3,fompus,gorpus
3,10,21,0,3,fompus,gorpus
3,20,21,0,3,fompus,gorpus
3,40,21,0,3,fompus,gorpus
4,5,21,0,3,fompus,gorpus
4,10,21,0,3,fompus,gorpus
4,20,21,0,3,fompus,gorpus
4,40,21,0,3,fompus,gorpus
5,5,21,0,3,fompus,gorpus
5,10,21,0,3,fompus,gorpus
5,20,21,0,3,fompus,gorpus
5,40,21,0,3,fompus,gorpus
0,0,22,1,3,wumpus,wumpus
1,5,22,1,3,wumpus,wumpus
1,10,22,1,3,wumpus,wumpus
1,20,22,1,3,wumpus,wumpus
1,40,22,1,3,wumpus,wumpus
2,5,22,1,3,wumpus,wumpus
2,10,22,1,3,wumpus,wumpus
2,20,22,1,3,wumpus,wumpus
2,40,22,1,3,wumpus,wumpus
3,5,22,1,3,wumpus,wumpus
3,10,22,1,3,wumpus,wumpus
3,20,22,1,3,wumpus,wumpus
3,40,22,1,3,wumpus,wumpus
4,5,22,1,3,wumpus,wumpus
4,10,22,1,3,wumpus,wumpus
4,20,22,1,3,wumpus,wumpus
4,40,22,1,3,wumpus,wumpus
5,5,22,1,3,wumpus,wumpus
5,10,22,1,3,wumpus,wumpus
5,20,22,1,3,wumpus,wumpus
5,40,22,1,3,wumpus,wumpus
0,0,23,1,3,terpus,terpus
1,5,23,1,3,terpus,terpus
1,10,23,1,3,terpus,terpus
1,20,23,1,3,terpus,terpus
1,40,23,1,3,terpus,terpus
2,5,23,1,3,terpus,terpus
2,10,23,1,3,terpus,terpus
2,20,23,1,3,terpus,terpus
2,40,23,1,3,terpus,terpus
3,5,23,1,3,terpus,terpus
3,10,23,1,3,terpus,terpus
3,20,23,1,3,terpus,terpus
3,40,23,1,3,terpus,terpus
4,5,23,1,3,terpus,terpus
4,10,23,1,3,terpus,terpus
4,20,23,1,3,terpus,terpus
4,40,23,1,3,terpus,terpus
5,5,23,1,3,terpus,terpus
5,10,23,1,3,terpus,terpus
5,20,23,1,3,terpus,terpus
5,40,23,1,3,terpus,terpus
0,0,24,0,3,gorpus,vumpus
1,5,24,0,3,gorpus,vumpus
1,10,24,0,3,gorpus,vumpus
1,20,24,0,3,gorpus,vumpus
1,40,24,0,3,gorpus,vumpus
2,5,24,0,3,gorpus,vumpus
2,10,24,0,3,gorpus,vumpus
2,20,24,0,3,gorpus,vumpus
2,40,24,0,3,gorpus,vumpus
3,5,24,0,3,gorpus,vumpus
3,10,24,0,3,gorpus,vumpus
3,20,24,0,3,gorpus,vumpus
3,40,24,0,3,gorpus,vumpus
4,5,24,0,3,gorpus,vumpus
4,10,24,0,3,gorpus,vumpus
4,20,24,0,3,gorpus,vumpus
4,40,24,0,3,gorpus,vumpus
5,5,24,0,3,gorpus,vumpus
5,10,24,0,3,gorpus,vumpus
5,20,24,0,3,gorpus,vumpus
5,40,24,0,3,gorpus,vumpus
0,0,25,1,3,worpus,worpus
1,5,25,1,3,worpus,worpus
1,10,25,1,3,worpus,worpus
1,20,25,1,3,worpus,worpus
1,40,25,1,3,worpus,worpus
2,5,25,1,3,worpus,worpus
2,10,25,1,3,worpus,worpus
2,20,25,1,3,worpus,worpus
2,40,25,1,3,worpus,worpus
3,5,25,1,3,worpus,worpus
3,10,25,1,3,worpus,worpus
3,20,25,1,3,worpus,worpus
3,40,25,1,3,worpus,worpus
4,5,25,1,3,worpus,worpus
4,10,25,1,3,worpus,worpus
4,20,25,1,3,worpus,worpus
4,40,25,1,3,worpus,worpus
5,5,25,1,3,worpus,worpus
5,10,25,1,3,worpus,worpus
5,20,25,1,3,worpus,worpus
5,40,25,1,3,worpus,worpus
0,0,26,1,3,worpus,worpus
1,5,26,1,3,worpus,worpus
1,10,26,1,3,worpus,worpus
1,20,26,1,3,worpus,worpus
1,40,26,1,3,worpus,worpus
2,5,26,1,3,worpus,worpus
2,10,26,1,3,worpus,worpus
2,20,26,1,3,worpus,worpus
2,40,26,1,3,worpus,worpus
3,5,26,1,3,worpus,worpus
3,10,26,1,3,worpus,worpus
3,20,26,1,3,worpus,worpus
3,40,26,1,3,worpus,worpus
4,5,26,1,3,worpus,worpus
4,10,26,1,3,worpus,worpus
4,20,26,1,3,worpus,worpus
4,40,26,1,3,worpus,worpus
5,5,26,1,3,worpus,worpus
5,10,26,1,3,worpus,worpus
5,20,26,1,3,worpus,worpus
5,40,26,1,3,worpus,worpus
0,0,27,1,4,vumpus,vumpus
1,5,27,1,4,vumpus,vumpus
1,10,27,1,4,vumpus,vumpus
1,20,27,1,4,vumpus,vumpus
1,40,27,1,4,vumpus,vumpus
2,5,27,1,4,vumpus,vumpus
2,10,27,1,4,vumpus,vumpus
2,20,27,1,4,vumpus,vumpus
2,40,27,1,4,vumpus,vumpus
3,5,27,1,4,vumpus,vumpus
3,10,27,1,4,vumpus,vumpus
3,20,27,1,4,vumpus,vumpus
3,40,27,1,4,vumpus,vumpus
4,5,27,1,4,vumpus,vumpus
4,10,27,1,4,vumpus,vumpus
4,20,27,1,4,vumpus,vumpus
4,40,27,1,4,vumpus,vumpus
5,5,27,1,4,vumpus,vumpus
5,10,27,1,4,vumpus,vumpus
5,20,27,1,4,vumpus,vumpus
5,40,27,1,4,vumpus,vumpus
0,0,28,1,4,rorpus,rorpus
1,5,28,1,4,rorpus,rorpus
1,10,28,1,4,rorpus,rorpus
1,20,28,1,4,rorpus,rorpus
1,40,28,1,4,rorpus,rorpus
2,5,28,1,4,rorpus,rorpus
2,10,28,1,4,rorpus,rorpus
2,20,28,1,4,rorpus,rorpus
2,40,28,1,4,rorpus,rorpus
3,5,28,1,4,rorpus,rorpus
3,10,28,1,4,rorpus,rorpus
3,20,28,1,4,rorpus,rorpus
3,40,28,1,4,rorpus,rorpus
4,5,28,1,4,rorpus,rorpus
4,10,28,1,4,rorpus,rorpus
4,20,28,1,4,rorpus,rorpus
4,40,28,1,4,rorpus,rorpus
5,5,28,1,4,rorpus,rorpus
5,10,28,1,4,rorpus,rorpus
5,20,28,1,4,rorpus,rorpus
5,40,28,1,4,rorpus,rorpus
0,0,29,1,5,brimpus,brimpus
1,5,29,1,5,brimpus,brimpus
1,10,29,1,5,brimpus,brimpus
1,20,29,1,5,brimpus,brimpus
1,40,29,1,5,brimpus,brimpus
2,5,29,1,5,brimpus,brimpus
2,10,29,1,5,brimpus,brimpus
2,20,29,1,5,brimpus,brimpus
2,40,29,1,5,brimpus,brimpus
3,5,29,1,5,brimpus,brimpus
3,10,29,1,5,brimpus,brimpus
3,20,29,1,5,brimpus,brimpus
3,40,29,1,5,brimpus,brimpus
4,5,29,1,5,brimpus,brimpus
4,10,29,1,5,brimpus,brimpus
4,20,29,1,5,brimpus,brimpus
4,40,29,1,5,brimpus,brimpus
5,5,29,1,5,brimpus,brimpus
5,10,29,1,5,brimpus,brimpus
5,20,29,1,5,brimpus,brimpus
5,40,29,1,5,brimpus,brimpus
0,0,30,1,5,zhorpus,zhorpus
1,5,30,1,5,zhorpus,zhorpus
1,10,30,1,5,zhorpus,zhorpus
1,20,30,1,5,zhorpus,zhorpus
1,40,30,1,5,zhorpus,zhorpus
2,5,30,1,5,zhorpus,zhorpus
2,10,30,1,5,zhorpus,zhorpus
2,20,30,1,5,zhorpus,zhorpus
2,40,30,1,5,zhorpus,zhorpus
3,5,30,1,5,zhorpus,zhorpus
3,10,30,1,5,zhorpus,zhorpus
3,20,30,1,5,zhorpus,zhorpus
3,40,30,1,5,zhorpus,zhorpus
4,5,30,1,5,zhorpus,zhorpus
4,10,30,1,5,zhorpus,zhorpus
4,20,30,1,5,zhorpus,zhorpus
4,40,30,1,5,zhorpus,zhorpus
5,5,30,1,5,zhorpus,zhorpus
5,10,30,1,5,zhorpus,zhorpus
5,20,30,1,5,zhorpus,zhorpus
5,40,30,1,5,zhorpus,zhorpus
0,0,31,1,3,wumpus,wumpus
1,5,31,1,3,wumpus,wumpus
1,10,31,1,3,wumpus,wumpus
1,20,31,1,3,wumpus,wumpus
1,40,31,1,3,wumpus,wumpus
2,5,31,1,3,wumpus,wumpus
2,10,31,1,3,wumpus,wumpus
2,20,31,1,3,wumpus,wumpus
2,40,31,1,3,wumpus,wumpus
3,5,31,1,3,wumpus,wumpus
3,10,31,1,3,wumpus,wumpus
3,20,31,1,3,wumpus,wumpus
3,40,31,1,3,wumpus,wumpus
4,5,31,1,3,wumpus,wumpus
4,10,31,1,3,wumpus,wumpus
4,20,31,1,3,wumpus,wumpus
4,40,31,1,3,wumpus,wumpus
5,5,31,1,3,wumpus,wumpus
5,10,31,1,3,wumpus,wumpus
5,20,31,1,3,wumpus,wumpus
5,40,31,1,3,wumpus,wumpus
0,0,32,1,4,rompus,rompus
1,5,32,1,4,rompus,rompus
1,10,32,1,4,rompus,rompus
1,20,32,1,4,rompus,rompus
1,40,32,1,4,rompus,rompus
2,5,32,1,4,rompus,rompus
2,10,32,1,4,rompus,rompus
2,20,32,1,4,rompus,rompus
2,40,32,1,4,rompus,rompus
3,5,32,1,4,rompus,rompus
3,10,32,1,4,rompus,rompus
3,20,32,1,4,rompus,rompus
3,40,32,1,4,rompus,rompus
4,5,32,1,4,rompus,rompus
4,10,32,1,4,rompus,rompus
4,20,32,1,4,rompus,rompus
4,40,32,1,4,rompus,rompus
5,5,32,1,4,rompus,rompus
5,10,32,1,4,rompus,rompus
5,20,32,1,4,rompus,rompus
5,40,32,1,4,rompus,rompus
0,0,33,1,4,scrompus,scrompus
1,5,33,1,4,scrompus,scrompus
1,10,33,1,4,scrompus,scrompus
1,20,33,1,4,scrompus,scrompus
1,40,33,1,4,scrompus,scrompus
2,5,33,1,4,scrompus,scrompus
2,10,33,1,4,scrompus,scrompus
2,20,33,1,4,scrompus,scrompus
2,40,33,1,4,scrompus,scrompus
3,5,33,1,4,scrompus,scrompus
3,10,33,1,4,scrompus,scrompus
3,20,33,1,4,scrompus,scrompus
3,40,33,1,4,scrompus,scrompus
4,5,33,1,4,scrompus,scrompus
4,10,33,1,4,scrompus,scrompus
4,20,33,1,4,scrompus,scrompus
4,40,33,1,4,scrompus,scrompus
5,5,33,1,4,scrompus,scrompus
5,10,33,1,4,scrompus,scrompus
5,20,33,1,4,scrompus,scrompus
5,40,33,1,4,scrompus,scrompus
0,0,34,1,5,zumpus,zumpus
1,5,34,1,5,zumpus,zumpus
1,10,34,1,5,zumpus,zumpus
1,20,34,1,5,zumpus,zumpus
1,40,34,1,5,zumpus,zumpus
2,5,34,1,5,zumpus,zumpus
2,10,34,1,5,zumpus,zumpus
2,20,34,1,5,zumpus,zumpus
2,40,34,1,5,zumpus,zumpus
3,5,34,1,5,zumpus,zumpus
3,10,34,1,5,zumpus,zumpus
3,20,34,1,5,zumpus,zumpus
3,40,34,1,5,zumpus,zumpus
4,5,34,1,5,zumpus,zumpus
4,10,34,1,5,zumpus,zumpus
4,20,34,1,5,zumpus,zumpus
4,40,34,1,5,zumpus,zumpus
